zostało pudełko
[RENATA]: Podpinam się pod logi ED: C:\Users\Patryk\Saved Games\Frontier Developments\Elite Dangerous
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7ab50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry2 entry_id=0x18493edcbd0 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77e30 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry entry_id=0x18493edd950 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e77f20 hide reason= entry=.!notebook.!spanshtab.!notebook.!exomasterytab.!frame.!frame.!entry2 entry_id=0x18493edda50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2970 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame.!entry entry_id=0x18493edeb50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dd2a50 hide reason= entry=.!notebook.!spanshtab.!notebook.!tradetab.!frame.!frame2.!entry entry_id=0x18493edee50 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d57b60 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry entry_id=0x18493d57a10 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493d0b890 hide reason= entry=.!notebook.!spanshtab.!notebook.!neutrontab.!frame.!frame.!entry2 entry_id=0x18493d09090 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493eb4b90 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry entry_id=0x18493dea2c0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dea520 hide reason= entry=.!notebook.!spanshtab.!notebook.!richestab.!frame.!frame.!entry2 entry_id=0x18493de5a30 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493dead70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry entry_id=0x18493e777a0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493de5c70 hide reason= entry=.!notebook.!spanshtab.!notebook.!ammoniatab.!frame.!frame.!entry2 entry_id=0x18493dd2190 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec8490 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry entry_id=0x18493e9fb70 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493ec85a0 hide reason= entry=.!notebook.!spanshtab.!notebook.!elwtab.!frame.!frame.!entry2 entry_id=0x18493e9fc20 val='' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
[ACDBG] 0x18493e7aa50 hide reason= entry=.!notebook.!spanshtab.!notebook.!hmctab.!frame.!frame.!entry entry_id=0x18493edcad0 val='Diaguandri' viewable=0 list_mapped=0 focus=<tkinter.Tk object .>
